,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
25,2015-16,Villanova,Big East,18,0,20.1,2.0,3.6,0.554,1.6,2.3,0.707,0.4,1.3,1.6,1.9,0.824,0.7,2.2,2.8,0.8,0.9,0.7,0.5,2.7,5.9,/players/mikal-bridges-1.html,0.292
26,2016-17,Villanova,Big East,18,18,31.2,3.6,6.9,0.524,2.3,3.4,0.661,1.3,3.4,1.7,1.8,0.939,1.1,3.6,4.7,1.7,2.1,1.1,1.7,2.7,10.3,/players/mikal-bridges-1.html,0.387
27,2017-18,Villanova,Big East,18,18,33.7,6.4,12.6,0.513,3.9,6.3,0.623,2.5,6.2,2.8,3.2,0.879,1.3,3.7,5.1,2.2,1.4,0.9,1.5,2.6,18.2,/players/mikal-bridges-1.html,0.402
28,2011-12,Virginia,ACC,14,1,23.8,2.5,5.7,0.438,1.8,3.4,0.521,0.7,2.3,0.8,1.1,0.733,0.5,1.9,2.4,1.0,0.6,0.1,1.4,1.4,6.5,/players/malcolm-brogdon-1.html,0.313
29,2013-14,Virginia,ACC,18,18,33.3,4.8,10.8,0.446,3.6,7.9,0.458,1.2,2.9,3.9,4.4,0.888,1.2,4.6,5.8,3.2,1.3,0.1,0.9,1.8,14.8,/players/malcolm-brogdon-1.html,0.415
30,2014-15,Virginia,ACC,18,18,34.2,4.8,11.3,0.422,3.3,7.3,0.458,1.4,4.1,2.9,3.2,0.897,0.4,3.8,4.2,2.3,0.9,0.4,1.8,2.2,13.9,/players/malcolm-brogdon-1.html,0.356
31,2015-16,Virginia,ACC,18,18,34.8,6.9,13.8,0.502,4.8,8.6,0.558,2.2,5.3,3.9,4.3,0.909,0.4,3.6,4.1,2.6,0.9,0.2,1.8,2.2,19.9,/players/malcolm-brogdon-1.html,0.411
32,2010-11,Providence,Big East,18,17,38.7,9.0,19.1,0.471,6.9,12.8,0.543,2.1,6.3,5.9,7.7,0.77,2.1,3.8,5.9,2.5,1.2,1.1,3.2,3.1,26.0,/players/marshon-brooks-1.html,0.325
33,2015-16,California,Pac-12,18,18,29.2,5.3,11.4,0.461,4.2,8.4,0.503,1.1,3.1,4.3,6.6,0.647,1.0,4.6,5.6,2.3,0.8,0.9,2.9,2.9,15.9,/players/jaylen-brown-1.html,0.345
34,2014-15,Elon,CAA,18,11,27.7,4.4,12.1,0.369,2.9,7.8,0.369,1.6,4.2,4.5,6.2,0.723,1.5,3.4,4.9,3.3,1.2,0.4,3.4,2.8,14.9,/players/elijah-bryant-1.html,0.368
