,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
54,2016-17,31.0,SAS,NBA,PF,16.0,16.0,33.6,6.9,15.0,0.458,0.1,0.9,6.8,14.1,0.478,0.463,2.6,3.4,0.764,2.7,4.8,7.4,1.5,0.6,1.0,1.8,2.6,16.5,/players/a/aldrila01.html,0.143
55,2017-18,32.0,SAS,NBA,C,5.0,5.0,35.4,7.4,16.0,0.463,0.6,1.0,6.8,15.0,0.453,0.481,8.2,8.4,0.976,2.6,6.6,9.2,2.4,0.6,0.4,1.8,1.8,23.6,/players/a/aldrila01.html,0.6
56,2018-19,33.0,SAS,NBA,C,7.0,7.0,34.9,7.9,17.3,0.455,0.4,1.6,7.4,15.7,0.473,0.467,3.9,4.7,0.818,2.7,6.9,9.6,2.7,0.7,1.0,1.0,3.0,20.0,/players/a/aldrila01.html,0.273
57,1995-96,22.0,SAS,NBA,PG,9.0,0.0,7.8,1.1,2.7,0.417,0.1,0.6,1.0,2.1,0.474,0.438,0.6,0.8,0.714,0.4,0.6,1.0,1.0,0.2,0.0,0.7,0.9,2.9,/players/a/alexaco01.html,0.2
58,2002-03,25.0,NOH,NBA,PG,5.0,0.0,7.8,1.4,3.2,0.438,0.2,0.2,1.2,3.0,0.4,0.469,0.6,0.8,0.75,0.4,0.4,0.8,0.2,0.4,0.0,0.2,1.2,3.6,/players/a/alexaco02.html,1.0
59,2020-21,22.0,PHO,NBA,SG,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,/players/a/alexaty01.html,
60,1991-92,22.0,GSW,NBA,C,4.0,0.0,6.0,0.8,1.3,0.6,0.0,0.0,0.8,1.3,0.6,0.6,0.3,0.3,1.0,0.3,1.3,1.5,0.3,0.5,0.0,0.5,2.0,1.8,/players/a/alexavi01.html,
61,2001-02,32.0,DET,NBA,C,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/a/alexavi01.html,
62,2021-22,23.0,UTA,NBA,SG,1.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,/players/a/alexani01.html,
63,1987-88,23.0,DAL,NBA,PG,4.0,0.0,3.0,0.8,2.0,0.375,0.0,0.5,0.8,1.5,0.5,0.375,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.0,1.5,/players/a/alforst01.html,0.0
64,1988-89,24.0,GSW,NBA,PG,6.0,0.0,8.7,1.5,3.7,0.409,0.7,1.5,0.8,2.2,0.385,0.5,0.5,0.7,0.75,0.3,0.3,0.7,0.8,0.3,0.0,0.2,1.2,4.2,/players/a/alforst01.html,0.444
65,1989-90,25.0,DAL,NBA,PG,3.0,0.0,14.0,2.7,6.0,0.444,0.7,2.0,2.0,4.0,0.5,0.5,1.7,1.7,1.0,0.3,0.7,1.0,2.7,0.3,0.0,1.0,1.3,7.7,/players/a/alforst01.html,0.333
66,2018-19,23.0,UTA,NBA,SG,2.0,0.0,7.0,1.0,3.5,0.286,0.0,1.5,1.0,2.0,0.5,0.286,2.5,3.5,0.714,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5,/players/a/allengr01.html,0.0
67,2020-21,25.0,MEM,NBA,SG,5.0,0.0,23.2,2.4,6.6,0.364,1.6,4.2,0.8,2.4,0.333,0.485,0.0,0.2,0.0,0.6,2.0,2.6,0.2,0.4,0.2,0.2,2.6,6.4,/players/a/allengr01.html,0.381
68,2021-22,26.0,MIL,NBA,SG,12.0,5.0,25.4,3.1,6.8,0.451,1.6,4.0,1.5,2.8,0.529,0.567,0.6,0.9,0.636,0.4,2.5,2.9,1.3,0.7,0.3,0.8,1.8,8.3,/players/a/allengr01.html,0.396
69,2018-19,20.0,BRK,NBA,C,5.0,5.0,22.0,3.8,6.4,0.594,0.0,0.0,3.8,6.4,0.594,0.594,3.4,4.0,0.85,3.0,3.8,6.8,2.2,0.6,0.6,1.6,2.6,11.0,/players/a/allenja01.html,
70,2019-20,21.0,BRK,NBA,C,4.0,4.0,33.0,3.5,6.0,0.583,0.0,0.0,3.5,6.0,0.583,0.583,3.3,4.0,0.813,4.3,10.5,14.8,2.3,0.5,1.8,2.8,1.8,10.3,/players/a/allenja01.html,
71,2011-12,22.0,PHI,NBA,PF,12.0,1.0,19.7,2.8,5.1,0.557,0.0,0.0,2.8,5.1,0.557,0.557,0.6,1.0,0.583,1.8,3.2,4.9,0.3,0.8,0.9,0.4,2.5,6.3,/players/a/allenla01.html,
72,2013-14,24.0,IND,NBA,PF,4.0,0.0,3.8,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,1.0,/players/a/allenla01.html,
73,2015-16,26.0,IND,NBA,PF,6.0,3.0,8.5,0.5,1.7,0.3,0.0,0.0,0.5,1.7,0.3,0.3,0.0,0.0,,0.7,1.7,2.3,0.3,0.2,0.2,0.2,0.3,1.0,/players/a/allenla01.html,
74,2016-17,27.0,IND,NBA,PF,3.0,0.0,3.7,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.0,0.0,/players/a/allenla01.html,
75,2003-04,25.0,MIA,NBA,PF,10.0,0.0,13.8,2.2,4.9,0.449,0.0,0.0,2.2,4.9,0.449,0.449,0.6,0.9,0.667,1.2,1.8,3.0,0.4,0.2,0.9,0.4,2.1,5.0,/players/a/allenma01.html,
76,2005-06,27.0,CHI,NBA,PF,6.0,6.0,19.3,2.3,5.0,0.467,0.0,0.0,2.3,5.0,0.467,0.467,0.0,0.2,0.0,0.8,2.2,3.0,1.2,0.3,1.0,1.7,2.7,4.7,/players/a/allenma01.html,
77,2006-07,28.0,CHI,NBA,PF,5.0,0.0,6.8,0.4,2.4,0.167,0.0,0.0,0.4,2.4,0.167,0.167,0.0,0.0,,0.8,0.6,1.4,0.2,0.2,0.2,0.6,1.4,0.8,/players/a/allenma01.html,
78,2007-08,29.0,DAL,NBA,PF,3.0,0.0,6.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,/players/a/allenma01.html,
79,2009-10,31.0,DEN,NBA,PF,4.0,0.0,2.8,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.5,0.3,0.8,0.0,0.3,0.0,0.0,0.5,0.0,/players/a/allenma01.html,
80,2010-11,32.0,ORL,NBA,PF,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,/players/a/allenma01.html,
81,1998-99,23.0,MIL,NBA,SG,3.0,3.0,40.0,8.3,15.7,0.532,3.0,6.3,5.3,9.3,0.571,0.628,2.7,4.3,0.615,2.7,4.7,7.3,4.3,1.0,0.3,3.7,3.0,22.3,/players/a/allenra02.html,0.474
82,1999-00,24.0,MIL,NBA,SG,5.0,5.0,37.2,8.0,18.0,0.444,2.0,5.2,6.0,12.8,0.469,0.5,4.0,4.4,0.909,2.0,4.6,6.6,2.6,1.6,0.0,1.8,2.0,22.0,/players/a/allenra02.html,0.385
83,2000-01,25.0,MIL,NBA,SG,18.0,18.0,42.7,8.8,18.4,0.477,3.2,6.6,5.6,11.8,0.476,0.563,4.4,4.8,0.919,1.1,3.1,4.1,6.0,1.3,0.6,2.4,2.4,25.1,/players/a/allenra02.html,0.479
