SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
2020-21,21,MIA,NBA,PF,3,0,4.0,1.0,1.3,0.75,0.0,0.0,1.0,1.3,0.75,0.75,0.3,1.3,0.25,0.0,2.0,2.0,0.0,0.0,0.7,1.3,0.3,2.3,/players/a/achiupr01.html,0.0
2021-22,22,TOR,NBA,C,6,1,27.8,4.2,8.7,0.481,0.8,2.7,3.3,6.0,0.556,0.529,1.0,1.7,0.6,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,/players/a/achiupr01.html,0.313
1987-88,25,BOS,NBA,C,17,0,9.3,0.8,1.5,0.538,0.0,0.0,0.8,1.5,0.538,0.538,0.5,1.1,0.5,0.8,1.3,2.1,0.1,0.1,0.1,0.4,1.9,2.2,/players/a/acresma01.html,0.0
1988-89,26,BOS,NBA,C,2,0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,/players/a/acresma01.html,0.0
2006-07,22,NJN,NBA,SG,6,0,1.5,0.2,0.3,0.5,0.0,0.0,0.2,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.3,/players/a/adamsha01.html,0.0
2019-20,23,POR,NBA,PG,3,0,7.0,1.0,3.0,0.333,0.0,1.3,1.0,1.7,0.6,0.333,0.0,0.0,0.0,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,2.0,/players/a/adamsja01.html,0.0
2014-15,20,MEM,NBA,SG,4,0,2.5,0.5,0.8,0.667,0.3,0.3,0.3,0.5,0.5,0.833,0.5,1.0,0.5,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,1.8,/players/a/adamsjo01.html,1.0
1986-87,24,WSB,NBA,PG,3,1,27.3,2.7,8.3,0.32,0.7,3.0,2.0,5.3,0.375,0.36,0.3,1.0,0.333,0.0,2.3,2.3,3.3,2.3,0.0,1.7,2.0,6.3,/players/a/adamsmi01.html,0.222
1987-88,25,DEN,NBA,PG,11,11,36.9,4.3,11.8,0.362,1.5,4.9,2.7,6.9,0.395,0.427,3.3,3.7,0.878,0.8,2.5,3.3,5.8,1.6,0.2,2.1,1.7,13.4,/players/a/adamsmi01.html,0.315
1988-89,26,DEN,NBA,PG,2,1,37.5,7.5,18.0,0.417,5.0,11.0,2.5,7.0,0.357,0.556,3.5,4.0,0.875,2.5,6.0,8.5,4.5,1.5,0.0,4.0,3.0,23.5,/players/a/adamsmi01.html,0.455
1989-90,27,DEN,NBA,PG,3,3,35.0,4.3,11.3,0.382,2.0,6.7,2.3,4.7,0.5,0.471,2.3,2.7,0.875,0.0,2.0,2.0,6.0,1.3,0.0,2.7,3.3,13.0,/players/a/adamsmi01.html,0.3
