SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
1989-90,25,DAL,NBA,PG,3,0,42.0,8.0,18.0,0.444,2.0,6.0,6.0,12.0,0.5,0.5,5.0,5.0,1.0,1.0,2.0,3.0,8.0,1.0,0.0,3.0,4.0,23.0,/players/a/alforst01.html,0.333
2018-19,23,UTA,NBA,SG,2,0,14.0,2.0,7.0,0.286,0.0,3.0,2.0,4.0,0.5,0.286,5.0,7.0,0.714,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,/players/a/allengr01.html,0.0
2020-21,25,MEM,NBA,SG,5,0,116.0,12.0,33.0,0.364,8.0,21.0,4.0,12.0,0.333,0.485,0.0,1.0,0.0,3.0,10.0,13.0,1.0,2.0,1.0,1.0,13.0,32.0,/players/a/allengr01.html,0.381
2021-22,26,MIL,NBA,SG,12,5,305.0,37.0,82.0,0.451,19.0,48.0,18.0,34.0,0.529,0.567,7.0,11.0,0.636,5.0,30.0,35.0,15.0,8.0,4.0,9.0,22.0,100.0,/players/a/allengr01.html,0.396
2018-19,20,BRK,NBA,C,5,5,110.0,19.0,32.0,0.594,0.0,0.0,19.0,32.0,0.594,0.594,17.0,20.0,0.85,15.0,19.0,34.0,11.0,3.0,3.0,8.0,13.0,55.0,/players/a/allenja01.html,0.0
2019-20,21,BRK,NBA,C,4,4,132.0,14.0,24.0,0.583,0.0,0.0,14.0,24.0,0.583,0.583,13.0,16.0,0.813,17.0,42.0,59.0,9.0,2.0,7.0,11.0,7.0,41.0,/players/a/allenja01.html,0.0
2011-12,22,PHI,NBA,PF,12,1,236.0,34.0,61.0,0.557,0.0,0.0,34.0,61.0,0.557,0.557,7.0,12.0,0.583,21.0,38.0,59.0,3.0,10.0,11.0,5.0,30.0,75.0,/players/a/allenla01.html,0.0
2013-14,24,IND,NBA,PF,4,0,15.0,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,/players/a/allenla01.html,0.0
2015-16,26,IND,NBA,PF,6,3,51.0,3.0,10.0,0.3,0.0,0.0,3.0,10.0,0.3,0.3,0.0,0.0,0.0,4.0,10.0,14.0,2.0,1.0,1.0,1.0,2.0,6.0,/players/a/allenla01.html,0.0
2016-17,27,IND,NBA,PF,3,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,/players/a/allenla01.html,0.0
2003-04,25,MIA,NBA,PF,10,0,138.0,22.0,49.0,0.449,0.0,0.0,22.0,49.0,0.449,0.449,6.0,9.0,0.667,12.0,18.0,30.0,4.0,2.0,9.0,4.0,21.0,50.0,/players/a/allenma01.html,0.0
2005-06,27,CHI,NBA,PF,6,6,116.0,14.0,30.0,0.467,0.0,0.0,14.0,30.0,0.467,0.467,0.0,1.0,0.0,5.0,13.0,18.0,7.0,2.0,6.0,10.0,16.0,28.0,/players/a/allenma01.html,0.0
2006-07,28,CHI,NBA,PF,5,0,34.0,2.0,12.0,0.167,0.0,0.0,2.0,12.0,0.167,0.167,0.0,0.0,0.0,4.0,3.0,7.0,1.0,1.0,1.0,3.0,7.0,4.0,/players/a/allenma01.html,0.0
2007-08,29,DAL,NBA,PF,3,0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,/players/a/allenma01.html,0.0
2009-10,31,DEN,NBA,PF,4,0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,/players/a/allenma01.html,0.0
2010-11,32,ORL,NBA,PF,1,0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,/players/a/allenma01.html,0.0
1998-99,23,MIL,NBA,SG,3,3,120.0,25.0,47.0,0.532,9.0,19.0,16.0,28.0,0.571,0.628,8.0,13.0,0.615,8.0,14.0,22.0,13.0,3.0,1.0,11.0,9.0,67.0,/players/a/allenra02.html,0.474
1999-00,24,MIL,NBA,SG,5,5,186.0,40.0,90.0,0.444,10.0,26.0,30.0,64.0,0.469,0.5,20.0,22.0,0.909,10.0,23.0,33.0,13.0,8.0,0.0,9.0,10.0,110.0,/players/a/allenra02.html,0.385
2000-01,25,MIL,NBA,SG,18,18,768.0,158.0,331.0,0.477,57.0,119.0,101.0,212.0,0.476,0.563,79.0,86.0,0.919,19.0,55.0,74.0,108.0,24.0,10.0,43.0,44.0,452.0,/players/a/allenra02.html,0.479
2004-05,29,SEA,NBA,SG,11,11,436.0,102.0,215.0,0.474,31.0,82.0,71.0,133.0,0.534,0.547,56.0,63.0,0.889,12.0,35.0,47.0,43.0,14.0,4.0,34.0,22.0,291.0,/players/a/allenra02.html,0.378
2007-08,32,BOS,NBA,SG,26,26,987.0,133.0,311.0,0.428,55.0,139.0,78.0,172.0,0.453,0.516,84.0,92.0,0.913,25.0,73.0,98.0,71.0,24.0,8.0,38.0,63.0,405.0,/players/a/allenra02.html,0.396
2008-09,33,BOS,NBA,SG,14,14,565.0,83.0,206.0,0.403,35.0,100.0,48.0,106.0,0.453,0.488,55.0,58.0,0.948,13.0,42.0,55.0,37.0,15.0,5.0,25.0,35.0,256.0,/players/a/allenra02.html,0.35
2009-10,34,BOS,NBA,SG,24,24,925.0,131.0,304.0,0.431,56.0,145.0,75.0,159.0,0.472,0.523,69.0,80.0,0.863,12.0,68.0,80.0,63.0,22.0,3.0,36.0,74.0,387.0,/players/a/allenra02.html,0.386
2010-11,35,BOS,NBA,SG,9,9,361.0,57.0,109.0,0.523,32.0,56.0,25.0,53.0,0.472,0.67,24.0,25.0,0.96,5.0,29.0,34.0,22.0,11.0,1.0,10.0,21.0,170.0,/players/a/allenra02.html,0.571
