,NCAA_CHAMPION,CONSENSUS_AA,NCAA_ALL-REGION,HS_PARADE_AA,COLLEGE_URL
350,0.0,0.0,0.0,0.0,/players/sam-merrill-1.html
351,0.0,0.0,0.0,0.0,/players/khris-middleton-1.html
352,0.0,1.0,0.0,1.0,/players/chris-mihm-1.html
353,0.0,1.0,1.0,0.0,/players/andre-miller-1.html
354,0.0,0.0,0.0,0.0,/players/brad-miller-1.html
355,0.0,0.0,0.0,0.0,/players/malcolm-miller-1.html
356,0.0,0.0,1.0,1.0,/players/mike-miller-1.html
357,0.0,0.0,0.0,0.0,/players/reggie-miller-1.html
358,0.0,0.0,0.0,0.0,/players/patrick-mills-1.html
359,0.0,0.0,0.0,1.0,/players/paul-millsap-1.html
360,0.0,0.0,0.0,0.0,/players/donovan-mitchell-1.html
361,0.0,0.0,1.0,0.0,/players/cuttino-mobley-1.html
362,0.0,1.0,1.0,0.0,/players/evan-mobley-1.html
363,2.0,0.0,0.0,0.0,/players/nazr-mohammed-1.html
364,0.0,0.0,0.0,1.0,/players/greg-monroe-1.html
365,1.0,2.0,2.0,1.0,/players/eric-montross-1.html
366,0.0,1.0,0.0,0.0,/players/temetrius-morant-1.html
367,0.0,0.0,0.0,0.0,/players/eric-moreland-1.html
368,0.0,0.0,0.0,0.0,/players/chris-morris-1.html
369,0.0,0.0,0.0,0.0,/players/markieff-morris-1.html
370,0.0,1.0,1.0,0.0,/players/adam-morrison-1.html
371,0.0,2.0,1.0,1.0,/players/alonzo-mourning-1.html
372,0.0,2.0,2.0,0.0,/players/chris-mullin-1.html
373,0.0,0.0,0.0,1.0,/players/dejounte-murray-1.html
374,0.0,0.0,0.0,0.0,/players/jamal-murray-1.html
375,0.0,0.0,0.0,0.0,/players/dikembe-mutombo-1.html
376,0.0,0.0,0.0,0.0,/players/steve-nash-1.html
377,0.0,0.0,0.0,0.0,/players/gary-neal-1.html
378,0.0,1.0,1.0,0.0,/players/jameer-nelson-1.html
379,2.0,1.0,1.0,0.0,/players/joakim-noah-1.html
380,0.0,0.0,0.0,1.0,/players/nerlens-noel-1.html
381,0.0,0.0,0.0,0.0,/players/kendrick-nunn-1.html
382,0.0,0.0,0.0,0.0,/players/jordan-nwora-1.html
383,0.0,2.0,0.0,1.0,/players/shaquille-oneal-1.html
384,0.0,0.0,0.0,1.0,/players/lamar-odom-1.html
385,1.0,1.0,2.0,0.0,/players/emeka-okafor-1.html
386,1.0,1.0,0.0,1.0,/players/jahlil-okafor-1.html
387,0.0,0.0,0.0,0.0,/players/isaac-okoro-1.html
388,0.0,1.0,0.0,0.0,/players/victor-oladipo-1.html
389,0.0,0.0,0.0,0.0,/players/michael-olowokandi-1.html
390,0.0,1.0,0.0,0.0,/players/kelly-olynyk-1.html
391,0.0,1.0,1.0,1.0,/players/billy-owens-1.html
392,0.0,0.0,0.0,0.0,/players/chandler-parsons-1.html
393,1.0,0.0,1.0,0.0,/players/eric-paschall-1.html
394,0.0,1.0,0.0,1.0,/players/chris-paul-1.html
395,0.0,0.0,0.0,0.0,/players/elfrid-payton-1.html
396,0.0,1.0,0.0,0.0,/players/gary-payton-1.html
397,0.0,0.0,0.0,0.0,/players/will-perdue-1.html
398,0.0,0.0,1.0,0.0,/players/chuck-person-1.html
399,0.0,0.0,0.0,0.0,/players/wesley-person-1.html
400,1.0,1.0,2.0,0.0,/players/morris-peterson-1.html
401,0.0,0.0,0.0,0.0,/players/richard-petruska-1.html
402,0.0,0.0,0.0,0.0,/players/bobby-phills-1.html
403,0.0,1.0,1.0,1.0,/players/paul-pierce-1.html
404,0.0,0.0,0.0,0.0,/players/dexter-pittman-1.html
405,1.0,1.0,1.0,1.0,/players/mason-plumlee-1.html
406,0.0,0.0,0.0,1.0,/players/scot-pollard-1.html
407,0.0,1.0,0.0,1.0,/players/bobby-portis-1.html
408,0.0,0.0,0.0,0.0,/players/james-posey-1.html
409,0.0,1.0,0.0,1.0,/players/leon-powe-1.html
410,0.0,0.0,0.0,0.0,/players/josh-powell-1.html
411,0.0,0.0,0.0,0.0,/players/norman-powell-1.html
412,0.0,1.0,2.0,0.0,/players/mark-price-1.html
413,0.0,1.0,0.0,1.0,/players/tayshaun-prince-1.html
414,0.0,0.0,0.0,1.0,/players/gabe-pruitt-1.html
415,0.0,0.0,0.0,0.0,/players/immanuel-quickley-1.html
416,0.0,0.0,1.0,0.0,/players/julius-randle-1.html
417,0.0,0.0,0.0,1.0,/players/zach-randolph-1.html
418,0.0,0.0,0.0,0.0,/players/theo-ratliff-1.html
419,0.0,0.0,1.0,0.0,/players/michael-redd-1.html
420,0.0,0.0,1.0,0.0,/players/bryant-reeves-1.html
421,0.0,1.0,3.0,1.0,/players/jr-reid-1.html
