,URL,NAME,ACTIVE_FROM,ACTIVE_TO,POSITION,COLLEGE,DRAFT_YEAR,DRAFT_PICK,DRAFT_TEAM,BIRTH_DATE(year),HEIGHT(cm),WEIGHT(kg)
90,/players/a/anticpe01.html,Pero Antić,2014,2015,C-F,No College,Undrafted,Undrafted,Undrafted,1982,210.82,117.93
91,/players/a/anunoog01.html,OG Anunoby,2018,2022,F,Indiana,2017.0,23.0,TOR,1997,200.66,105.23
92,/players/a/applike01.html,Keith Appling,2016,2016,G,Michigan State,Undrafted,Undrafted,Undrafted,1992,185.42,83.91
93,/players/a/araujra01.html,Rafael Araújo,2005,2007,C,BYU,Undrafted,Undrafted,Undrafted,1980,210.82,127.01
94,/players/a/archiro01.html,Robert Archibald,2003,2004,F,Illinois,2002.0,32.0,MEM,1980,210.82,113.4
95,/players/a/arcidry01.html,Ryan Arcidiacono,2018,2022,G,Villanova,Undrafted,Undrafted,Undrafted,1994,190.5,88.45
96,/players/a/arenagi01.html,Gilbert Arenas,2002,2012,G,Arizona,2001.0,31.0,GSW,1982,193.04,86.64
97,/players/a/arizatr01.html,Trevor Ariza,2005,2022,F,UCLA,2004.0,43.0,NYK,1985,203.2,97.52
98,/players/a/arlaujo01.html,Joe Arlauckas,1988,1988,F,Niagara University,1987.0,74.0,SAC,1965,205.74,104.33
99,/players/a/armstbj01.html,B.J. Armstrong,1990,2000,G,Iowa,1989.0,18.0,CHI,1967,187.96,79.38
100,/players/a/armstbr01.html,Brandon Armstrong,2002,2004,G,Pepperdine,2001.0,23.0,HOU,1980,195.57999999999998,85.28
101,/players/a/armstda01.html,Darrell Armstrong,1995,2008,G,Fayetteville State University,Undrafted,Undrafted,Undrafted,1968,182.88,77.11
102,/players/a/armsthi01.html,Hilton Armstrong,2007,2014,F-C,UConn,2006.0,12.0,NOK,1984,210.82,106.59
103,/players/a/arroyca01.html,Carlos Arroyo,2002,2011,G,Florida International University,Undrafted,Undrafted,Undrafted,1979,187.96,91.63
104,/players/a/arthuda01.html,Darrell Arthur,2009,2018,F,Kansas,2008.0,27.0,NOH,1988,205.74,106.59
105,/players/a/artisja01.html,Jamel Artis,2018,2018,G-F,Pitt,Undrafted,Undrafted,Undrafted,1993,200.66,96.62
106,/players/a/asikom01.html,Ömer Aşık,2011,2018,C,No College,Undrafted,Undrafted,Undrafted,1986,213.36,115.67
107,/players/a/askewvi01.html,Vincent Askew,1988,1998,G-F,Memphis,1987.0,39.0,PHI,1966,198.12,95.25
108,/players/a/askinke01.html,Keith Askins,1991,1999,G-F,Alabama,Undrafted,Undrafted,Undrafted,1967,200.66,89.36
109,/players/a/atkinch01.html,Chucky Atkins,2000,2010,G,South Florida,Undrafted,Undrafted,Undrafted,1974,180.34,72.57
110,/players/a/augmost01.html,Stacey Augmon,1992,2006,F-G,UNLV,1991.0,9.0,ATL,1968,203.2,92.99
111,/players/a/augusdj01.html,D.J. Augustin,2009,2022,G,Texas,2008.0,9.0,CHA,1987,180.34,83.01
112,/players/a/augusja01.html,James Augustine,2007,2008,F,Illinois,2006.0,41.0,ORL,1984,208.28,106.59
113,/players/a/austiis01.html,Isaac Austin,1992,2002,C,Arizona State,1991.0,48.0,UTA,1969,208.28,115.67
114,/players/a/avdijde01.html,Deni Avdija,2021,2022,G-F,No College,2020.0,9.0,WAS,2001,205.74,95.25
115,/players/a/aventan01.html,Anthony Avent,1993,2000,F,Seton Hall,1991.0,15.0,ATL,1969,205.74,106.59
116,/players/a/averywi01.html,William Avery,2000,2002,G,Duke,1999.0,14.0,MIN,1979,187.96,89.36
117,/players/a/ayayijo01.html,Joel Ayayi,2022,2022,G,Gonzaga,Undrafted,Undrafted,Undrafted,2000,195.57999999999998,81.65
118,/players/a/ayongu01.html,Gustavo Ayón,2012,2014,C,No College,Undrafted,Undrafted,Undrafted,1985,208.28,113.4
119,/players/p/pendeje02.html,Jeff Ayres,2010,2016,F,Arizona State,2009.0,31.0,SAC,1987,205.74,108.86
120,/players/a/aytonde01.html,Deandre Ayton,2019,2022,C,Arizona,2018.0,1.0,PHO,1998,210.82,113.4
121,/players/a/azubuke01.html,Kelenna Azubuike,2007,2012,G,Kentucky,Undrafted,Undrafted,Undrafted,1983,195.57999999999998,99.79
122,/players/a/azubuud01.html,Udoka Azubuike,2021,2022,C,Kansas,2020.0,27.0,UTA,1999,208.28,127.01
123,/players/b/babbch01.html,Chris Babb,2014,2014,G,"Penn State, Iowa State",Undrafted,Undrafted,Undrafted,1990,195.57999999999998,102.06
124,/players/b/babbilu01.html,Luke Babbitt,2011,2018,F,Nevada,2010.0,16.0,MIN,1989,205.74,102.06
125,/players/b/babicmi01.html,Miloš Babić,1991,1992,C-F,Tennessee Technological University,Undrafted,Undrafted,Undrafted,1968,213.36,108.86
126,/players/b/bacondw01.html,Dwayne Bacon,2018,2021,G,Florida State,2017.0,40.0,NOP,1995,198.12,100.24
127,/players/b/bagarda01.html,Dalibor Bagarić,2001,2003,C,No College,Undrafted,Undrafted,Undrafted,1980,215.9,115.67
128,/players/b/baglema01.html,Marvin Bagley III,2019,2022,F-C,Duke,2018.0,2.0,SAC,1999,210.82,106.59
129,/players/b/baileto01.html,Toby Bailey,1999,2000,G,UCLA,1998.0,45.0,LAL,1975,198.12,96.62
130,/players/b/bairsca01.html,Cameron Bairstow,2015,2016,F-C,New Mexico,2014.0,49.0,CHI,1990,205.74,113.4
131,/players/b/bakerla01.html,Mark Baker,1999,1999,G,Ohio State,Undrafted,Undrafted,Undrafted,1969,185.42,79.38
132,/players/b/bakerma01.html,Maurice Baker,2005,2005,G,Oklahoma State,Undrafted,Undrafted,Undrafted,1979,185.42,79.38
133,/players/b/bakerro01.html,Ron Baker,2017,2019,G,Wichita State,Undrafted,Undrafted,Undrafted,1993,193.04,99.79
134,/players/b/bakervi01.html,Vin Baker,1994,2006,F,University of Hartford,1993.0,8.0,MIL,1971,210.82,105.23
135,/players/b/baldwwa01.html,Wade Baldwin,2017,2019,G,Vanderbilt,2016.0,17.0,MEM,1996,193.04,90.72
