,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS
404,1999-00,Fresno State,WAC,31.0,1035.0,0.616,0.606,0.0,0.259,16.3,/players/melvin-ely-1.html,31.0
405,2000-01,Fresno State,WAC,33.0,1009.0,0.605,0.583,0.0,0.468,16.9,/players/melvin-ely-1.html,33.0
406,2001-02,Fresno State,WAC,28.0,999.0,0.603,0.563,0.002,0.501,11.9,/players/melvin-ely-1.html,28.0
407,2013-14,Kansas,Big 12,28.0,647.0,0.655,0.629,0.029,0.836,21.6,/players/joel-embiid-1.html,20.0
408,2008-09,Memphis,CUSA,37.0,1072.0,0.529,0.489,0.246,0.384,18.2,/players/tyreke-evans-1.html,35.0
409,2008-09,Vanderbilt,SEC,29.0,360.0,0.544,0.547,0.0,0.733,29.8,/players/festus-ezeli-1.html,6.0
410,2009-10,Vanderbilt,SEC,32.0,406.0,0.508,0.544,0.0,0.656,22.4,/players/festus-ezeli-1.html,5.0
411,2010-11,Vanderbilt,SEC,34.0,799.0,0.615,0.588,0.0,0.84,14.3,/players/festus-ezeli-1.html,34.0
412,2011-12,Vanderbilt,SEC,26.0,603.0,0.567,0.539,0.0,0.842,20.1,/players/festus-ezeli-1.html,22.0
413,2007-08,Morehead State,OVC,30.0,605.0,0.529,0.516,0.012,0.344,13.9,/players/kenneth-faried-1.html,20.0
414,2008-09,Morehead State,OVC,36.0,1083.0,0.569,0.559,0.014,0.542,15.4,/players/kenneth-faried-1.html,36.0
415,2009-10,Morehead State,OVC,35.0,1060.0,0.579,0.565,0.01,0.597,14.2,/players/kenneth-faried-1.html,32.0
416,2010-11,Morehead State,OVC,35.0,1216.0,0.619,0.623,0.0,0.644,15.8,/players/kenneth-faried-1.html,34.0
417,2004-05,UCLA,Pac-10,29.0,997.0,0.537,0.469,0.349,0.466,24.1,/players/jordan-farmar-1.html,29.0
418,2005-06,UCLA,Pac-10,37.0,1125.0,0.518,0.485,0.45,0.302,21.9,/players/jordan-farmar-1.html,37.0
419,2009-10,Georgia Tech,ACC,36.0,989.0,0.621,0.611,0.003,0.488,20.0,/players/derrick-favors-1.html,35.0
420,2002-03,UNC,ACC,35.0,1240.0,0.519,0.489,0.509,0.301,23.1,/players/raymond-felton-1.html,35.0
421,2003-04,UNC,ACC,30.0,1039.0,0.543,0.485,0.416,0.39,24.2,/players/raymond-felton-1.html,30.0
422,2004-05,UNC,ACC,36.0,1142.0,0.589,0.561,0.482,0.406,24.7,/players/raymond-felton-1.html,35.0
423,2012-13,Indiana,Big Ten,36.0,1012.0,0.511,0.454,0.336,0.372,22.0,/players/kevin-ferrell-1.html,36.0
424,2013-14,Indiana,Big Ten,32.0,1083.0,0.573,0.521,0.538,0.374,14.8,/players/kevin-ferrell-1.html,32.0
425,2014-15,Indiana,Big Ten,34.0,1186.0,0.586,0.539,0.478,0.313,12.1,/players/kevin-ferrell-1.html,34.0
426,2015-16,Indiana,Big Ten,35.0,1215.0,0.6,0.55,0.439,0.383,14.8,/players/kevin-ferrell-1.html,35.0
427,1987-88,Duke,ACC,35.0,1138.0,0.559,0.513,0.21,0.314,14.4,/players/danny-ferry-1.html,35.0
428,1988-89,Duke,ACC,35.0,1163.0,0.593,0.561,0.184,0.336,14.7,/players/danny-ferry-1.html,35.0
429,2006-07,Stanford,Pac-10,30.0,420.0,0.463,0.444,0.532,0.185,15.1,/players/landry-fields-1.html,0.0
