,2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,URL,eFG%
4691,1.8,0.386,4.6,0.3,0.341,0.8,,0.8,,1.0,2.0,0.38,5.3,0.9,0.731,1.2,54,,ABA,12.0,0.8,2.0,,5.2,Career,,,1.3,1.8,/players/w/wattssa01.html,0.404
4692,,,,,,,,6.1,0.3,2.2,3.7,0.413,8.9,1.6,0.597,2.7,437.0,,NBA,26.3,1.0,3.0,,8.9,Career,2.2,,1.8,3.2,/players/w/wattssl01.html,
4693,0.7,0.339,2.0,0.2,0.226,1.1,,1.0,0.0,0.3,0.9,0.3,3.1,0.6,0.895,0.7,29.0,1.0,NBA,7.3,0.0,1.0,,2.7,Career,0.3,,0.5,0.3,/players/w/waynsma01.html,0.339
4694,0.0,0.0,0.5,0.0,0.0,0.5,,0.5,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2,0,NBA,3.5,1.0,0.5,,0.0,Career,0.0,,0.0,1.0,/players/w/wearda01.html,0.0
4695,1.2,0.397,3.0,0.4,0.364,1.1,,0.7,0.2,1.7,1.6,0.388,4.1,0.4,0.824,0.5,68.0,1.0,NBA,13.2,0.5,1.3,,4.0,Career,0.3,,0.6,2.1,/players/w/weartr01.html,0.438
4696,4.4,0.473,9.3,0.0,0.196,0.1,,1.5,0.9,5.2,4.4,0.471,9.3,2.6,0.743,3.6,915.0,612.0,NBA,30.3,2.3,2.2,,11.5,Career,1.0,,1.6,7.5,/players/w/weathcl01.html,0.472
4697,3.8,0.455,8.3,0.0,,0.0,,0.9,0.3,3.2,3.8,0.455,8.3,1.5,0.713,2.1,453.0,,NBA,21.4,1.7,2.7,,9.0,Career,0.8,,1.8,4.9,/players/w/weathni01.html,0.455
4698,0.7,0.526,1.4,0.1,0.188,0.4,,0.6,0.1,0.6,0.8,0.452,1.7,0.5,0.826,0.5,42.0,0.0,NBA,6.5,0.1,1.0,,2.1,Career,0.3,,0.4,0.8,/players/w/weathqu01.html,0.473
4699,1.3,0.497,2.5,0.6,0.353,1.6,,1.6,0.5,1.7,1.8,0.441,4.2,0.7,0.736,1.0,73.0,19.0,NBA,18.9,0.5,1.3,,5.0,Career,0.8,,1.1,2.2,/players/w/weaveky01.html,0.51
4700,0.2,0.4,0.5,0.4,0.211,1.9,,0.4,0.0,1.6,0.6,0.25,2.4,0.0,,0.0,10,0,NBA,12.0,0.8,1.0,,1.6,Career,0.1,,0.4,2.4,/players/w/webbja01.html,0.333
4701,,,,,,,,0.6,,,0.9,0.376,2.4,0.4,0.711,0.5,75.0,,NBA,7.2,,0.8,,2.1,Career,,,,0.8,/players/w/webbje01.html,
4702,1.4,0.542,2.7,0.0,0.0,0.1,,0.2,0.2,0.6,1.4,0.52,2.8,1.4,0.619,2.3,9,0,NBA,5.7,0.6,1.2,,4.3,Career,0.1,,0.6,1.1,/players/w/webbma01.html,0.52
4703,3.2,.478,6.6,0.4,.314,1.3,,5.3,0.1,1.7,3.6,.452,7.9,2.4,.848,2.8,814,429,NBA,24.9,0.4,2.0,,9.9,Career,1.1,,2.0,2.1,/players/w/webbsp01.html,.477
4704,8.3,0.49,17.0,0.3,0.299,1.1,,4.2,1.4,7.0,8.7,0.479,18.1,3.0,0.649,4.7,831.0,827.0,NBA,37.1,2.7,3.2,,20.7,Career,1.4,,2.8,9.8,/players/w/webbech01.html,0.487
4705,1.2,0.457,2.6,0.1,0.192,0.6,,1.4,0.2,1.4,1.3,0.408,3.2,0.5,0.733,0.7,45.0,4.0,NBA,13.6,0.5,1.2,,3.2,Career,0.9,,0.7,1.9,/players/w/weberbr01.html,0.426
4706,,,,,,,,0.1,,,1.2,0.292,4.0,1.1,0.696,1.6,50.0,,BAA,,,2.2,,3.5,Career,,,,,/players/w/weberja01.html,
4707,2.0,0.467,4.4,0.0,0.25,0.2,,0.7,,1.2,2.1,0.459,4.5,0.9,0.724,1.2,24.0,,ABA,9.9,0.6,1.6,,5.1,Career,,,1.5,1.8,/players/w/webstel01.html,0.463
4708,0.5,0.353,1.5,0.2,0.333,0.5,,0.3,0.0,0.5,0.7,0.348,2.1,0.0,,0.0,11,0,NBA,5.3,0.2,0.6,,1.6,Career,0.4,,0.3,0.6,/players/w/webstje01.html,0.391
4709,1.6,.454,3.4,1.4,.382,3.6,,1.0,0.3,2.5,2.9,.418,7.0,1.5,.791,1.9,580,266,NBA,24.0,0.6,1.8,,8.7,Career,0.5,,0.9,3.1,/players/w/webstma02.html,.515
